IDCliente,Genero,Jubilado,Casado,Dependientes,Permanencia_Meses,Telefonia,MutlipleLineas,Internet,SeguridadOnline,CopiaSeguridadLinea,SeguroDispositivo,Soporte,StreamingTV,StreamingMovies,TipoContrato,ReciboOnline,MetodoPago,MontoPlan,MontoTotal,Churn
9867-JCZSP,Mujer,No,Si,Si,17,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,20.75,418.25,No
4671-VJLCL,Mujer,No,No,No,63,Si,Si,DSL,Si,Si,Si,Si,Si,No,Dos años,Si,Tarjeta de credito,79.85,4861.45,No
4080-IIARD,Mujer,No,Si,No,13,Si,Si,DSL,Si,Si,No,Si,Si,No,Mensual,Si,Cheque,76.2,981.45,No
3714-NTNFO,Mujer,No,No,No,49,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,84.5,3906.7,No
5948-UJZLF,Hombre,No,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,Pago efectivo,49.25,97,No
7760-OYPDY,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque,80.65,144.15,Si
7639-LIAYI,Hombre,No,No,No,52,Si,Si,DSL,Si,No,No,Si,Si,Si,Dos años,Si,Tarjeta de credito,79.75,4217.8,No
2954-PIBKO,Mujer,No,Si,Si,69,Si,Si,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de credito,64.15,4254.1,No
8012-SOUDQ,Mujer,Si,No,No,43,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Cheque,90.25,3838.75,No
9420-LOJKX,Mujer,No,No,No,15,Si,No,Fibra optica,Si,Si,No,No,Si,Si,Mensual,Si,Tarjeta de credito,99.1,1426.4,Si
6575-SUVOI,Mujer,Si,Si,No,25,Si,Si,DSL,Si,No,No,Si,Si,No,Mensual,Si,Tarjeta de credito,69.5,1752.65,No
7495-OOKFY,Mujer,Si,Si,No,8,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Tarjeta de credito,80.65,633.3,Si
4667-QONEA,Mujer,Si,Si,Si,60,Si,No,DSL,Si,Si,Si,Si,No,Si,Un año,Si,Tarjeta de credito,74.85,4456.35,No
1658-BYGOY,Hombre,Si,No,No,18,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,95.45,1752.55,Si
8769-KKTPH,Mujer,No,Si,Si,63,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Un año,Si,Tarjeta de credito,99.65,6311.2,No
5067-XJQFU,Hombre,Si,Si,Si,66,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Un año,Si,Cheque,108.45,7076.35,No
3957-SQXML,Mujer,No,Si,Si,34,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,24.95,894.3,No
5954-BDFSG,Mujer,No,No,No,72,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito,107.5,7853.7,No
0434-CSFON,Mujer,No,Si,No,47,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,100.5,4707.1,No
1215-FIGMP,Hombre,No,No,No,60,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria,89.9,5450.7,No
0526-SXDJP,Hombre,No,Si,No,72,No,Sin servicio telefonia,DSL,Si,Si,Si,No,No,No,Dos años,No,Transferencia bancaria,42.1,2962,No
0557-ASKVU,Mujer,No,Si,Si,18,Si,No,DSL,No,No,Si,Si,No,No,Un año,Si,Tarjeta de credito,54.4,957.1,No
5698-BQJOH,Mujer,No,No,No,9,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Cheque,94.4,857.25,Si
5122-CYFXA,Mujer,No,No,No,3,Si,No,DSL,No,Si,No,Si,Si,Si,Mensual,Si,Cheque,75.3,244.1,No
8627-ZYGSZ,Hombre,No,Si,No,47,Si,Si,Fibra optica,No,Si,No,No,No,No,Un año,Si,Cheque,78.9,3650.35,No
3410-YOQBQ,Mujer,No,No,No,31,Si,No,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Pago efectivo,79.2,2497.2,No
3170-NMYVV,Mujer,No,Si,Si,50,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,20.15,930.9,No
7410-OIEDU,Hombre,No,No,No,10,Si,No,Fibra optica,Si,No,Si,No,No,No,Mensual,Si,Pago efectivo,79.85,887.35,No
2273-QCKXA,Hombre,No,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Pago efectivo,49.05,49.05,No
0731-EBJQB,Mujer,No,Si,Si,52,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Cheque,20.4,1090.65,No
1891-QRQSA,Hombre,Si,Si,Si,64,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,111.6,7099,No
8028-PNXHQ,Hombre,No,Si,Si,62,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,24.25,1424.6,No
5630-AHZIL,Mujer,No,No,Si,3,Si,No,DSL,Si,No,No,Si,No,Si,Mensual,Si,Transferencia bancaria,64.5,177.4,No
2673-CXQEU,Mujer,Si,No,No,56,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Un año,No,Cheque,110.5,6139.5,No
6416-JNVRK,Mujer,No,No,No,46,Si,No,DSL,No,No,No,No,No,Si,Un año,No,Tarjeta de credito,55.65,2688.85,No
5590-ZSKRV,Mujer,No,Si,Si,8,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,Pago efectivo,54.65,482.25,No
0191-ZHSKZ,Hombre,Si,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque,74.75,2111.3,No
3887-PBQAO,Mujer,No,Si,Si,45,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Tarjeta de credito,25.9,1216.6,No
5919-TMRGD,Mujer,No,No,Si,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque,79.35,79.35,Si
8108-UXRQN,Mujer,No,Si,Si,11,No,Sin servicio telefonia,DSL,Si,No,No,No,Si,Si,Mensual,No,Cheque,50.55,565.35,No
9191-MYQKX,Mujer,No,Si,No,7,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Transferencia bancaria,75.15,496.9,Si
9919-YLNNG,Mujer,No,No,No,42,Si,No,Fibra optica,No,Si,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria,103.8,4327.5,No
0318-ZOPWS,Mujer,No,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,20.15,973.35,No
4445-ZJNMU,Hombre,No,No,No,9,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Tarjeta de credito,99.3,918.75,No
4808-YNLEU,Mujer,No,Si,No,35,Si,No,DSL,Si,No,No,No,Si,No,Un año,Si,Transferencia bancaria,62.15,2215.45,No
1862-QRWPE,Mujer,No,Si,Si,48,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,20.65,1057,No
2796-NNUFI,Mujer,No,Si,Si,46,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Pago efectivo,19.95,927.1,No
3016-KSVCP,Hombre,No,Si,No,29,No,Sin servicio telefonia,DSL,No,No,No,No,Si,No,Mensual,No,Pago efectivo,33.75,1009.25,No
4767-HZZHQ,Hombre,No,Si,Si,30,Si,No,Fibra optica,No,Si,Si,No,No,No,Mensual,No,Transferencia bancaria,82.05,2570.2,No
2424-WVHPL,Hombre,Si,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,No,Cheque,74.7,74.7,No
7233-PAHHL,Hombre,No,Si,Si,66,Si,Si,DSL,Si,No,Si,Si,Si,Si,Dos años,Si,Pago efectivo,84,5714.25,No
6067-NGCEU,Mujer,No,No,No,65,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,111.05,7107,No
9848-JQJTX,Hombre,No,No,No,72,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Dos años,Si,Transferencia bancaria,100.9,7459.05,No
8637-XJIVR,Mujer,No,No,No,12,Si,Si,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque,78.95,927.35,Si
9803-FTJCG,Hombre,No,Si,Si,71,Si,Si,DSL,Si,Si,No,Si,No,No,Un año,Si,Tarjeta de credito,66.85,4748.7,No
0278-YXOOG,Hombre,No,No,No,5,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,21.05,113.85,Si
3212-KXOCR,Hombre,No,No,No,52,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,21,1107.2,No
4598-XLKNJ,Mujer,Si,Si,No,25,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque,98.5,2514.5,Si
6380-ARCEH,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.2,20.2,No
3679-XASPY,Mujer,No,Si,Si,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque,19.45,19.45,No
7123-WQUHX,Hombre,No,No,No,38,Si,Si,Fibra optica,No,No,Si,Si,Si,No,Un año,No,Transferencia bancaria,95,3605.6,No
5386-THSLQ,Mujer,Si,Si,No,66,No,Sin servicio telefonia,DSL,No,Si,Si,No,Si,No,Un año,No,Transferencia bancaria,45.55,3027.25,No
3192-NQECA,Hombre,No,Si,No,68,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,110,7611.85,Si
6180-YBIQI,Hombre,No,No,No,5,No,Sin servicio telefonia,DSL,No,No,No,No,No,No,Mensual,No,Pago efectivo,24.3,100.2,No
6728-DKUCO,Mujer,No,Si,Si,72,Si,Si,Fibra optica,Si,Si,No,No,Si,Si,Un año,Si,Cheque,104.15,7303.05,No
9750-BOOHV,Mujer,No,No,No,32,No,Sin servicio telefonia,DSL,Si,No,No,No,No,No,Un año,No,Pago efectivo,30.15,927.65,No
8597-CWYHH,Hombre,No,No,No,43,Si,Si,Fibra optica,No,No,No,No,Si,Si,Un año,No,Pago efectivo,94.35,3921.3,No
2848-YXSMW,Hombre,No,Si,Si,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,19.4,1363.25,No
0486-HECZI,Hombre,No,Si,No,55,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mensual,Si,Cheque,96.75,5238.9,Si
4549-ZDQYY,Mujer,No,No,No,52,Si,No,DSL,Si,No,Si,Si,No,No,Un año,No,Tarjeta de credito,57.95,3042.25,No
5712-AHQNN,Mujer,No,No,No,43,Si,No,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Cheque,91.65,3954.1,No
4846-WHAFZ,Mujer,Si,Si,No,37,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,76.5,2868.15,Si
5256-SKJGO,Mujer,No,Si,Si,64,No,Sin servicio telefonia,DSL,No,Si,No,Si,Si,Si,Dos años,Si,Cheque,54.6,3423.5,No
3071-VBYPO,Hombre,No,Si,Si,3,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mensual,No,Cheque,89.85,248.4,No
9560-BBZXK,Mujer,No,No,No,36,No,Sin servicio telefonia,DSL,Si,No,No,No,No,No,Dos años,No,Transferencia bancaria,31.05,1126.35,No
5299-RULOA,Mujer,No,Si,Si,10,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Mensual,Si,Cheque,100.25,1064.65,Si
8402-OOOHJ,Mujer,No,No,No,41,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,20.65,835.15,No
9445-ZUEQE,Hombre,No,Si,Si,27,Si,Si,Fibra optica,No,Si,No,Si,No,No,Mensual,Si,Tarjeta de credito,85.2,2151.6,No
1091-SOZGA,Mujer,No,Si,Si,56,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Un año,Si,Tarjeta de credito,99.8,5515.45,No
2928-HLDBA,Mujer,No,No,No,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.7,112.75,No
0404-SWRVG,Hombre,No,No,No,3,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,74.4,229.55,Si
6497-TILVL,Mujer,No,Si,Si,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,Pago efectivo,50.7,350.35,No
7219-TLZHO,Mujer,No,Si,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.85,62.9,No
4622-YNKIJ,Hombre,No,No,No,33,Si,No,Fibra optica,Si,No,No,Si,Si,No,Dos años,Si,Cheque,88.95,3027.65,No
4412-YLTKF,Mujer,Si,No,No,27,Si,Si,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Cheque,78.05,2135.5,Si
6734-PSBAW,Hombre,No,Si,No,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,23.55,1723.95,No
3930-ZGWVE,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,19.75,19.75,No
2639-UGMAZ,Hombre,Si,No,No,71,No,Sin servicio telefonia,DSL,Si,Si,No,No,Si,Si,Un año,Si,Cheque,56.45,3985.35,No
2876-GZYZC,Mujer,No,No,No,13,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque,85.95,1215.65,No
6207-WIOLX,Mujer,No,Si,Si,25,No,Sin servicio telefonia,DSL,Si,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,58.6,1502.65,Si
8587-XYZSF,Hombre,No,No,No,67,Si,No,DSL,No,No,No,Si,No,No,Dos años,No,Transferencia bancaria,50.55,3260.1,No
3091-FYHKI,Hombre,No,No,No,1,No,Sin servicio telefonia,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque,35.45,35.45,Si
2372-HWUHI,Hombre,No,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque,44.35,81.25,Si
7799-LGRDP,Mujer,No,No,No,43,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito,25.7,1188.2,No
7850-VWJUU,Mujer,No,No,No,23,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Transferencia bancaria,75,1778.5,No
3774-VBNXY,Mujer,No,Si,Si,64,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,20.2,1277.75,No
6217-KDYWC,Hombre,No,No,Si,57,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Pago efectivo,19.6,1170.55,No
0390-DCFDQ,Mujer,Si,Si,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,70.45,70.45,Si
3146-MSEGF,Mujer,Si,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito,88.05,6425.65,No
4080-OGPJL,Mujer,No,No,No,8,Si,Si,DSL,Si,No,No,Si,No,Si,Mensual,No,Cheque,71.15,563.65,Si
1095-WGNGG,Mujer,No,Si,No,61,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Dos años,Si,Transferencia bancaria,101.05,5971.25,No
2636-SJDOU,Hombre,No,No,No,64,Si,Si,Fibra optica,Si,Si,No,No,No,No,Un año,Si,Tarjeta de credito,84.3,5289.05,No
1131-QQZEB,Hombre,Si,Si,No,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,23.95,1756.2,No
5716-EZXZN,Mujer,No,Si,Si,65,Si,Si,Fibra optica,Si,Si,No,Si,Si,No,Dos años,Si,Tarjeta de credito,99.05,6416.7,No
6837-BJYDQ,Hombre,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.6,61.35,No
2135-RXIHG,Hombre,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque,45.65,45.65,Si
6440-DKQGE,Hombre,No,No,Si,30,Si,No,DSL,No,Si,Si,No,Si,No,Un año,No,Tarjeta de credito,64.5,1929.95,No
3466-BYAVD,Hombre,No,Si,Si,15,Si,No,DSL,No,Si,Si,Si,No,Si,Mensual,Si,Pago efectivo,69.5,1071.4,No
3780-YVMFA,Mujer,No,Si,Si,8,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Cheque,68.55,564.35,No
3874-EQOEP,Hombre,No,No,No,7,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Pago efectivo,95,655.5,Si
1679-JRFBR,Mujer,No,Si,Si,70,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Un año,Si,Tarjeta de credito,108.15,7930.55,No
9073-ZZIAY,Hombre,No,Si,Si,62,Si,No,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque,86.1,5215.25,No
3077-RSNTJ,Mujer,No,Si,Si,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,19.7,113.5,No
6551-GNYDG,Mujer,No,Si,Si,14,Si,No,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Transferencia bancaria,80.9,1152.8,No
9167-APMXZ,Mujer,No,No,No,22,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,84.15,1821.95,No
2749-CTKAJ,Hombre,No,Si,Si,22,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,20.15,419.9,No
6371-NZYEG,Hombre,No,Si,Si,16,Si,No,DSL,Si,No,Si,No,Si,No,Dos años,No,Pago efectivo,64.25,1024,No
7554-NEWDD,Hombre,No,No,No,10,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,25.7,251.6,No
8992-VONJD,Mujer,No,No,Si,13,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Cheque,56,764.55,No
0867-MKZVY,Mujer,No,Si,No,20,Si,Si,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque,82.4,1592.35,Si
4482-EWFMI,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,69.7,135.2,No
